id;robocza_nazwa;krotki_opis;glowny_mechanizm;kategoria;kompetencje;liczba_osob;optymalna_wielkosc_zespolu;czas;materialy;poziom_przygotowania;potencjal_zainteresowania;konkretnosc_efektu;rzeczywista_wspolpraca;grupa_16;grupa_30;ryzyko_chaosu;zwrot_akcji_mozliwy;przykladowy_zwrot_akcji;odpowiedz_po_co;source_type;zrodlo_inspiracji;url;adaptacja_bs_technikum;ryzyka;status;score
A091;Przetarg na projekt;Zespoły przygotowują projekt i kosztorys. Nauczyciel jako klient wybiera ofertę według kryteriów ujawnionych po części.;brief -> oferta -> kryteria -> wybór;przedsiębiorczość|negocjacje;kosztorys|argumentacja|planowanie;16-30;4-5;45 min;karta briefu;1;5;4;4;TAK;TAK;3;TAK;klient ujawnia, ze najważniejszy jest czas, nie cena;Macie wygrać przetarg, robiąc ofertę z sensem.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre dla technikum ekonomicznego, budowlanego, uslugowego;subiektywność oceny;STRONG CANDIDATE;17
A092;Mapa interesariuszy;Zespoły planują małą zmianę w szkole i muszą znaleźć, kogo dotknie, kto pomoże, kto zablokuje i jak go przekonać.;problem -> mapa ludzi -> plan;problemy społeczne|planowanie;analiza|argumentacja|empatia;16-30;4-5;35 min;kartka, marker;0;3;3;3;TAK;TAK;2;TAK;po 10 min dochodzi nowy interesariusz z innym interesem;Macie przewidzieć, kto może rozwalić plan i co z tym zrobić.;design thinking;S002 d.school;https://dschool.stanford.edu/tools/starter-kit;Dobierać lekkie tematy, np. strefa odpoczynku;może zejść w narzekanie;Kandydat;13
A093;Szkoła jako escape map;Zespoły projektują mini-escape room dla innej grupy: 3 zagadki, kod finalny, lista materiałów. Potem inny zespół testuje jedną zagadkę.;projekt zagadek -> test -> poprawa;escape room|projektowanie;kreatywność|logika|testowanie;16-30;4-5;45 min;kartki;0;5;4;4;TAK;TAK;3;TAK;tester znajduje lukę, trzeba poprawić;Macie zaprojektować zagadkę, którą inni faktycznie rozwiążą.;escape room;S007 Inspired Teaching;https://inspiredteaching.org/escape-rooms/;Uczniowie tworzą dla rówieśników, mocny hook;możliwe zbyt trudne zagadki;STRONG CANDIDATE;17
A094;Projekt plakatu ostrzegawczego;Zespoły tworzą konkretny plakat ostrzegający przed oszustwem lub ryzykiem, potem oceniają go testem 5 sekund.;produkt -> test percepcji -> poprawa;informacja|projektowanie;komunikacja wizualna|krytyczne myślenie|współpraca;16-30;4-5;40 min;kartki, pisaki;1;4;4;4;TAK;TAK;2;TAK;po teście 5 sekund trzeba usunąć połowę tekstu;Macie zrobić plakat, który da się zrozumieć w 5 sekund.;informacja;S009 CFPB identity protection;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Dobre, gdy klasa lubi praktyczne tworzenie;ocena estetyczna;Kandydat;17
A095;Wiadomość kryzysowa 160 znaków;Zespoły muszą napisać krótki komunikat do klientów po awarii, jasny i bez paniki. Potem porównują skuteczność.;problem -> komunikat -> test zrozumienia;komunikacja|życie zawodowe;precyzja|empatia|decyzje;16-30;4-5;25-35 min;karta awarii;0;4;3;3;TAK;TAK;2;TAK;po 8 min dochodzi nową informacja zmieniająca komunikat;Macie napisać komunikat, który ratuje sytuację, a nie robi chaos.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Praktyczne dla każdego zawodu;może być za pisemne;Kandydat;14
A096;Kryzys w social media;Zespoły jako firma dostają trzy komentarze i fakt awarii. Muszą ułożyć odpowiedź, decyzję i kolejność działań.;incydent -> priorytety -> odpowiedź;komunikacja|informacja;ocena ryzyka|pisanie|współpraca;16-30;4-5;35 min;karty komentarzy;1;5;4;4;TAK;TAK;3;TAK;po 10 min pojawia się viralowy screenshot;Macie opanować kryzys, zanim stracicie klientów.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Silny dla nastolatków, bo znają media;ryzyko hejtu, trzymać fikcję;STRONG CANDIDATE;17
A097;Turniej decyzji klienta;Zespoły dostają profil klienta i 5 ofert, ale każda ma ukryty koszt. Muszą znaleźć najlepszą po doprecyzowaniu pytań.;oferty -> pytania -> decyzja;życie codzienne|pieniądze;ocena informacji|pytania|decyzje;16-30;4-5;35 min;karty ofert;1;5;4;4;TAK;TAK;2;TAK;po 10 min jedną oferta ujawnia koszt serwisu;Macie wybrać ofertę, która nie ma haczyka.;finanse;S009 CFPB buying plan;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Bliskie realnym zakupom;trzeba pilnować neutralności marek;STRONG CANDIDATE;18
A098;Ranking narzędzi do misji;Zespoły wybierają narzędzia z ograniczonej listy dla konkretnego zadania zawodowego i uzasadniają priorytety.;ranking -> negocjacje -> uzasadnienie;decyzje|życie zawodowe;argumentacja|planowanie|współpraca;16-30;4-5;30-35 min;lista narzędzi;0;4;4;4;TAK;TAK;2;TAK;po wyborze okazuje się, ze jedno narzędzie jest niedostępne;Macie dobrać zestaw, który pozwoli wykonać robotę.;survival/assessment;S006 NASA consensus;https://www.psychologicalscience.org/observer/nasa-exercise;Dostosować narzędzia do profilu klasy;może wymagać znajomości zawodu;Kandydat;17
A099;Napraw projekt po teście;Zespoły dostają gotowy słaby projekt i wyniki testu. Muszą wskazać 3 poprawki i przewidzieć nowy wynik.;test -> diagnoza -> poprawki;projektowanie|optymalizacja;analiza|wnioskowanie|decyzje;16-30;4-5;35 min;karta projektu i wyników;1;4;4;3;TAK;TAK;2;TAK;po 10 min budżet poprawek spada do 2 punktów;Macie poprawić coś, co nie działa, na podstawie danych.;design thinking;S002 Stanford d.school;https://dschool.stanford.edu/tools/starter-kit;Dobre bez budowania fizycznego;jedną osoba może przejąć;Kandydat;15
A100;Final boss: misja 5000 zł;Zespoły mają 5000 zł, listę zasobów i cel: uruchomić jednodniowe wydarzenie lub mikro-usługę. Muszą kupić zasoby, ułożyć plan, zareagować na zwrot akcji i przedstawić wynik.;budżet -> zakupy -> plan -> kryzys -> pitch;pieniądze|planowanie|negocjacje;strategia|współpraca|adaptacja|argumentacja;16-30;4-5;45 min;karty zasobów, budżet;2;5;4;5;TAK;TAK;3;TAK;budżet spada do 3000 zł albo dochodzi dodatkowy klient;Macie zrobić misję za kasę, która nagle przestaje się zgadzać.;hybryda;S009 CFPB + S015 Assessment;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Bardzo zgodne z briefem, dobra aktywność pokazowa;wymaga dobrze przygotowanych kart;STRONG CANDIDATE;18
